antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"frozenset({'egg', 'baking powder'})",frozenset({'salt'}),0.025883915,0.350971401,0.014601183,0.564102564,1.60726077,0.005516669,1.488947962,0.387862834
"frozenset({'sugar', 'baking powder'})",frozenset({'egg'}),0.017316279,0.186979607,0.015868227,0.916376307,4.900942532,0.012630436,9.722368871,0.809983516
"frozenset({'egg', 'baking powder'})",frozenset({'sugar'}),0.025883915,0.124411729,0.015868227,0.613053613,4.927619099,0.012647965,2.262815471,0.81824153
frozenset({'baking powder'}),"frozenset({'sugar', 'egg'})",0.029564378,0.041571136,0.015868227,0.536734694,12.91123486,0.014639203,2.068855258,0.950653556
"frozenset({'salt', 'baking powder'})",frozenset({'purpose flour'}),0.016773259,0.076264028,0.010015687,0.597122302,7.829671706,0.008736491,2.292844645,0.887161311
"frozenset({'purpose flour', 'baking powder'})",frozenset({'salt'}),0.017436949,0.350971401,0.010015687,0.574394464,1.63658481,0.003895817,1.524953375,0.395874317
"frozenset({'salt', 'baking powder'})",frozenset({'sugar'}),0.016773259,0.124411729,0.010257029,0.611510791,4.915218165,0.008170239,2.253829067,0.810138901
"frozenset({'sugar', 'baking powder'})",frozenset({'salt'}),0.017316279,0.350971401,0.010257029,0.592334495,1.687700175,0.004179511,1.592061606,0.414658028
"frozenset({'bay leaf', 'basil'})",frozenset({'onion'}),0.015083866,0.283999035,0.010136358,0.672,2.366205226,0.005852555,2.182929772,0.586224927
"frozenset({'bay leaf', 'basil'})",frozenset({'oregano'}),0.015083866,0.162302401,0.010015687,0.664,4.091128625,0.007567539,2.493147615,0.767140112
"frozenset({'bay leaf', 'oregano'})",frozenset({'basil'}),0.01556655,0.205080246,0.010015687,0.643410853,3.137361422,0.006823295,2.229231484,0.692033395
"frozenset({'beef', 'basil'})",frozenset({'onion'}),0.021901774,0.283999035,0.015083866,0.688705234,2.425026673,0.008863784,2.300073898,0.600791808
"frozenset({'beef', 'basil'})",frozenset({'oregano'}),0.021901774,0.162302401,0.014420176,0.658402204,4.056638709,0.010865466,2.452292164,0.770362807
"frozenset({'beef', 'oregano'})",frozenset({'basil'}),0.024013515,0.205080246,0.014420176,0.600502513,2.928134346,0.009495479,1.989799132,0.674687227
"frozenset({'beef', 'basil'})",frozenset({'parmesan cheese'}),0.021901774,0.316640521,0.011403403,0.520661157,1.64432889,0.004468414,1.425629257,0.400623523
"frozenset({'beef', 'basil'})",frozenset({'salt'}),0.021901774,0.350971401,0.012006758,0.548209366,1.561977315,0.004319861,1.436569399,0.367842234
"frozenset({'beef', 'basil'})",frozenset({'tomato'}),0.021901774,0.208519368,0.011101726,0.506887052,2.430887154,0.006534782,1.605069662,0.601808219
"frozenset({'black pepper', 'basil'})",frozenset({'oregano'}),0.054000241,0.162302401,0.02727163,0.505027933,3.111647941,0.018507261,1.692413884,0.717364752
"frozenset({'black pepper', 'oregano'})",frozenset({'basil'}),0.047665017,0.205080246,0.02727163,0.572151899,2.789892783,0.017496477,1.857948537,0.673673968
"frozenset({'black pepper', 'basil'})",frozenset({'salt'}),0.054000241,0.350971401,0.034692892,0.642458101,1.830514107,0.015740352,1.815251863,0.479604123
"frozenset({'butter', 'basil'})",frozenset({'parmesan cheese'}),0.026185592,0.316640521,0.013515144,0.516129032,1.630015736,0.005223725,1.412276256,0.396902107
"frozenset({'basil', 'carrot'})",frozenset({'olive oil'}),0.019790033,0.371787136,0.010076023,0.509146341,1.369456583,0.002718343,1.279837387,0.275230163
"frozenset({'basil', 'carrot'})",frozenset({'onion'}),0.019790033,0.283999035,0.014842524,0.75,2.640854047,0.009222174,2.864003861,0.633879109
"frozenset({'basil', 'carrot'})",frozenset({'oregano'}),0.019790033,0.162302401,0.011282732,0.570121951,3.512714208,0.008070762,1.948686612,0.729761863
"frozenset({'carrot', 'oregano'})",frozenset({'basil'}),0.017979969,0.205080246,0.011282732,0.627516779,3.05985969,0.007595396,2.134108889,0.685513134
"frozenset({'basil', 'carrot'})",frozenset({'tomato'}),0.019790033,0.208519368,0.010619042,0.536585366,2.573311879,0.006492437,1.707931891,0.62373955
"frozenset({'celery', 'basil'})",frozenset({'onion'}),0.013334138,0.283999035,0.010619042,0.79638009,2.80416478,0.00683216,3.516360297,0.652082534
"frozenset({'oregano', 'egg'})",frozenset({'basil'}),0.024315192,0.205080246,0.01357548,0.558312655,2.722410693,0.008588914,1.799734049,0.648445571
"frozenset({'basil', 'egg'})",frozenset({'parmesan cheese'}),0.030047062,0.316640521,0.0207554,0.690763052,2.181537124,0.011241283,2.209824808,0.55838546
"frozenset({'basil', 'egg'})",frozenset({'salt'}),0.030047062,0.350971401,0.015868227,0.52811245,1.504716476,0.005322568,1.375388265,0.345813659
"frozenset({'oregano', 'extra virgin olive oil'})",frozenset({'basil'}),0.019548691,0.205080246,0.010015687,0.512345679,2.49826928,0.006006637,1.630088609,0.611680445
"frozenset({'basil', 'garlic'})",frozenset({'olive oil'}),0.059671775,0.371787136,0.032762158,0.549039434,1.476757477,0.010576959,1.393054982,0.343327715
"frozenset({'garlic', 'oregano'})",frozenset({'basil'}),0.046880656,0.205080246,0.027633643,0.589446589,2.874224117,0.018019346,1.9362152,0.684153588
"frozenset({'tomato paste', 'garlic'})",frozenset({'basil'}),0.020514058,0.205080246,0.010619042,0.517647059,2.524119551,0.006412014,1.648004368,0.616468523
"frozenset({'basil', 'garlic clove'})",frozenset({'olive oil'}),0.08688307,0.371787136,0.048147701,0.554166667,1.490548253,0.015845693,1.409075582,0.360420345
